IPK,Skor_Motivasi_Tertulis,Skor_Literasi_Finansial,Surat_Rekomendasi,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Semester,Status_Kelayakan,Kategori_Ekonomi,Skor_Performa_Dinamis
3.18,57,10,Ada,Ya,2,98,11,2,0,Stabil,71.3
3.3,76,86,Tidak,Tidak,3,62,2,6,0,Stabil,67.9
3.23,75,43,Tidak,Tidak,0,97,5,6,0,Stabil,67.85
3.11,100,65,Tidak,Tidak,4,80,19,4,0,Stabil,70.65
3.34,97,77,Ada,Tidak,1,81,0,5,1,Rentan,68.3
3.38,92,97,Tidak,Tidak,3,82,8,6,1,Rentan,73.1
3.7,99,62,Tidak,Ya,4,81,13,7,1,Stabil,79.7
3.4,72,46,Tidak,Ya,3,53,0,8,0,Rentan,67.6
2.93,65,39,Ada,Ya,2,91,9,6,0,Stabil,66.14999999999999
3.92,67,73,Ada,Ya,4,87,0,2,1,Stabil,84.2
2.56,89,68,Tidak,Ya,5,77,6,6,0,Rentan,63.8
3.43,56,54,Tidak,Tidak,5,54,18,4,0,Stabil,72.25
3.13,89,73,Tidak,Ya,3,51,20,4,1,Stabil,63.15
2.92,73,55,Tidak,Tidak,0,65,4,4,0,Stabil,56.8
3.51,88,31,Ada,Ya,1,65,3,7,1,Rentan,67.65
3.37,67,10,Ada,Ya,0,96,15,8,0,Stabil,69.75
3.2,65,63,Ada,Ya,5,83,18,6,0,Stabil,74.6
2.74,63,52,Ada,Tidak,1,61,6,2,0,Stabil,55.300000000000004
3.28,100,82,Ada,Ya,1,80,11,5,0,Stabil,67.19999999999999
2.38,93,32,Ada,Tidak,2,78,12,1,0,Rentan,55.3
2.8,52,42,Tidak,Tidak,5,99,15,5,0,Rentan,71.8
3.09,79,82,Ada,Tidak,4,91,20,7,1,Rentan,72.55
3.76,91,33,Ada,Ya,5,100,10,1,1,Stabil,86.4
3.57,51,6,Ada,Tidak,4,79,6,6,0,Stabil,77.35
3.92,99,100,Tidak,Ya,5,57,7,7,1,Rentan,80.2
3.34,76,30,Ada,Tidak,5,100,4,5,0,Stabil,80.1
3.25,63,71,Tidak,Ya,5,97,19,8,0,Stabil,78.15
3.58,52,85,Ada,Tidak,4,82,19,1,1,Rentan,78.1
2.79,95,63,Tidak,Tidak,1,66,3,3,0,Rentan,57.050000000000004
2.99,81,23,Ada,Ya,1,53,6,5,0,Stabil,57.45
2.75,79,26,Tidak,Ya,5,96,4,1,0,Stabil,70.45
3.43,50,42,Ada,Ya,4,54,7,5,0,Stabil,70.25
3.1,55,42,Tidak,Ya,2,79,20,1,1,Rentan,66.3
2.53,88,11,Tidak,Tidak,5,75,8,8,0,Rentan,62.949999999999996
2.58,69,62,Ada,Ya,3,92,3,1,0,Stabil,63.099999999999994
4.0,90,86,Tidak,Tidak,4,52,16,8,1,Stabil,78.4
3.46,58,70,Tidak,Tidak,3,83,13,3,0,Stabil,74.5
2.57,87,50,Ada,Tidak,2,57,14,2,0,Stabil,53.949999999999996
3.36,71,86,Ada,Tidak,4,61,2,1,0,Stabil,70.6
2.93,92,38,Tidak,Ya,5,89,19,2,0,Rentan,71.75
3.19,59,98,Ada,Tidak,1,90,17,2,0,Rentan,67.85
3.67,78,6,Ada,Ya,3,68,18,8,1,Rentan,74.65
3.66,75,73,Tidak,Tidak,2,64,1,1,0,Stabil,71.7
2.5,51,29,Ada,Tidak,3,96,6,6,0,Stabil,62.7
2.68,73,85,Tidak,Tidak,5,89,6,4,0,Stabil,68.0
3.66,63,22,Ada,Tidak,3,72,8,8,1,Rentan,75.3
2.36,99,90,Ada,Ya,2,59,16,1,1,Rentan,51.2
3.3,56,90,Ada,Tidak,4,63,11,8,1,Rentan,70.1
3.8,50,34,Ada,Ya,3,71,9,8,0,Stabil,77.2
3.54,76,91,Tidak,Ya,3,51,14,6,1,Rentan,69.30000000000001
3.07,59,92,Ada,Tidak,5,76,12,2,0,Stabil,71.25
4.0,89,38,Tidak,Ya,1,100,20,6,0,Stabil,82.0
3.07,55,69,Tidak,Ya,4,98,20,2,0,Stabil,73.65
2.98,82,38,Tidak,Ya,2,53,20,5,0,Stabil,59.3
3.15,88,91,Ada,Tidak,5,69,9,1,1,Rentan,71.05
2.79,53,86,Tidak,Tidak,3,80,6,4,0,Rentan,63.85
3.26,60,88,Ada,Tidak,5,81,14,7,0,Stabil,75.1
3.38,68,38,Ada,Ya,0,57,11,4,0,Rentan,62.099999999999994
3.64,97,53,Tidak,Tidak,2,57,17,5,1,Rentan,70.0
2.78,78,49,Tidak,Ya,5,96,10,5,0,Stabil,70.9
2.95,86,72,Tidak,Ya,1,91,17,4,0,Rentan,64.45
3.97,95,62,Tidak,Ya,1,84,19,4,1,Rentan,78.35
3.59,68,86,Ada,Ya,0,66,2,6,1,Rentan,67.05
3.32,57,65,Ada,Ya,2,65,19,1,1,Rentan,66.8
2.76,51,38,Tidak,Ya,5,65,17,7,0,Stabil,64.4
3.85,77,83,Tidak,Ya,1,50,14,7,1,Stabil,69.75
3.17,63,11,Tidak,Ya,2,60,17,1,0,Stabil,63.55
3.33,71,43,Tidak,Tidak,2,67,7,7,0,Stabil,67.35
3.68,50,100,Ada,Ya,3,85,15,4,1,Stabil,78.19999999999999
2.71,61,1,Ada,Ya,4,79,11,2,0,Stabil,64.45
3.13,81,0,Tidak,Tidak,1,67,15,4,0,Stabil,62.349999999999994
3.21,93,33,Ada,Ya,5,87,4,4,1,Stabil,75.55
3.84,77,63,Ada,Tidak,3,77,13,4,1,Rentan,79.0
2.86,51,39,Ada,Ya,0,54,7,1,0,Stabil,53.7
2.68,80,9,Ada,Tidak,2,53,10,2,0,Stabil,54.8
2.96,58,8,Ada,Tidak,5,53,9,8,0,Rentan,65.0
2.3,100,43,Ada,Tidak,1,74,14,2,0,Stabil,51.3
2.93,58,23,Tidak,Ya,1,76,15,1,0,Rentan,61.15
2.74,84,47,Ada,Tidak,2,80,9,4,0,Rentan,61.1
2.59,62,76,Ada,Ya,1,62,15,1,0,Stabil,53.25
3.47,50,94,Ada,Tidak,0,79,19,6,0,Stabil,67.85
3.43,68,5,Tidak,Ya,4,90,18,6,0,Rentan,77.44999999999999
3.1,51,48,Ada,Tidak,1,56,0,1,0,Rentan,59.7
3.36,89,24,Tidak,Tidak,4,57,4,2,0,Stabil,69.8
3.19,84,16,Tidak,Ya,4,70,7,4,0,Stabil,69.85
2.82,73,91,Tidak,Ya,5,61,10,8,0,Stabil,64.5
3.59,65,47,Tidak,Ya,1,69,13,8,0,Stabil,69.65
2.95,71,40,Tidak,Ya,3,79,13,5,0,Rentan,66.05
2.81,82,4,Ada,Tidak,2,64,3,5,0,Stabil,58.95
3.11,88,100,Ada,Tidak,2,50,9,4,0,Stabil,60.65
3.94,96,92,Ada,Tidak,3,64,16,7,1,Rentan,77.89999999999999
3.29,58,43,Ada,Ya,4,97,0,6,0,Rentan,76.75
3.19,58,48,Ada,Ya,4,86,20,4,0,Stabil,73.05
3.42,55,3,Ada,Tidak,5,93,17,4,0,Stabil,79.9
3.22,83,16,Ada,Ya,3,70,13,3,0,Stabil,68.3
3.22,60,18,Tidak,Ya,5,82,14,7,0,Stabil,74.7
2.64,55,53,Tidak,Ya,4,72,9,8,0,Rentan,62.0
3.9,52,89,Ada,Ya,3,67,20,4,1,Stabil,77.9
2.91,60,81,Tidak,Ya,2,82,1,8,0,Stabil,64.05
3.56,70,91,Tidak,Ya,5,79,2,8,0,Stabil,79.2
2.87,84,56,Tidak,Tidak,1,54,0,8,0,Stabil,55.849999999999994
4.0,91,6,Ada,Ya,5,94,9,6,1,Rentan,88.8
3.69,93,53,Ada,Tidak,2,56,5,4,1,Rentan,70.55
3.85,72,49,Tidak,Ya,1,50,12,2,0,Rentan,69.75
3.33,88,32,Tidak,Tidak,3,95,17,4,0,Stabil,74.94999999999999
3.2,92,48,Tidak,Tidak,5,71,0,2,0,Stabil,72.2
3.87,73,30,Tidak,Ya,0,62,4,4,1,Rentan,70.45
2.98,64,87,Tidak,Ya,2,65,6,8,0,Stabil,61.699999999999996
3.43,59,30,Ada,Ya,1,55,5,4,0,Rentan,64.44999999999999
3.85,86,50,Tidak,Ya,1,67,15,2,0,Stabil,73.15
2.97,74,70,Tidak,Ya,3,98,9,7,0,Stabil,70.15
2.79,80,62,Ada,Ya,2,62,0,3,0,Stabil,58.25
3.21,57,65,Tidak,Ya,3,62,13,7,0,Stabil,66.55
2.89,93,32,Ada,Ya,2,66,19,8,0,Stabil,60.550000000000004
3.61,62,75,Tidak,Ya,0,77,8,4,1,Rentan,69.55
3.24,50,67,Ada,Tidak,3,50,3,7,0,Stabil,64.6
3.69,57,97,Tidak,Ya,1,61,6,7,1,Rentan,69.55
2.72,71,1,Ada,Ya,0,80,15,5,0,Rentan,56.8
3.24,83,47,Tidak,Ya,0,80,10,1,0,Rentan,64.6
2.93,50,67,Tidak,Tidak,2,96,4,6,0,Stabil,67.15
2.83,73,51,Ada,Tidak,2,93,14,5,0,Stabil,65.05
3.23,83,21,Ada,Ya,1,81,2,2,0,Stabil,66.64999999999999
3.64,77,92,Ada,Tidak,5,70,12,8,1,Stabil,78.6
3.44,99,29,Ada,Tidak,1,74,12,8,0,Stabil,68.4
3.69,86,39,Tidak,Tidak,5,70,12,4,1,Rentan,79.35
3.26,64,18,Ada,Ya,5,50,17,4,0,Stabil,68.9
2.99,70,63,Tidak,Tidak,5,67,18,5,0,Stabil,68.25
3.34,53,2,Ada,Tidak,1,96,12,5,0,Stabil,71.30000000000001
2.89,62,90,Tidak,Tidak,2,58,10,7,0,Stabil,58.95
2.67,62,48,Ada,Ya,1,96,18,5,0,Rentan,61.25
2.76,87,30,Tidak,Ya,4,90,12,7,0,Rentan,67.4
2.34,99,1,Tidak,Tidak,5,67,20,7,0,Rentan,58.5
3.02,94,38,Ada,Ya,4,74,15,2,1,Stabil,68.1
3.67,83,96,Tidak,Ya,4,83,18,3,1,Stabil,79.65
2.72,91,10,Ada,Ya,1,85,8,2,0,Rentan,59.8
3.06,68,77,Tidak,Ya,4,86,15,2,0,Stabil,71.1
4.0,88,9,Ada,Tidak,1,67,4,4,1,Rentan,75.4
3.08,63,72,Ada,Tidak,5,90,20,5,0,Rentan,74.19999999999999
3.05,84,42,Ada,Tidak,0,54,10,3,0,Stabil,56.55
2.8,100,12,Ada,Tidak,3,83,9,5,0,Rentan,64.6
3.4,93,84,Tidak,Ya,2,87,4,6,1,Rentan,72.4
3.22,76,35,Tidak,Tidak,1,78,11,3,0,Rentan,65.9
3.31,55,1,Ada,Tidak,0,55,9,7,0,Rentan,60.65
2.88,97,94,Ada,Ya,4,94,17,7,1,Stabil,70.0
2.92,77,86,Tidak,Ya,2,60,11,1,0,Stabil,59.8
3.17,69,78,Ada,Tidak,3,89,15,4,0,Stabil,71.35
2.95,62,19,Ada,Ya,0,76,3,8,0,Rentan,59.45
3.08,78,45,Tidak,Ya,2,58,11,5,0,Stabil,61.8
3.58,80,41,Tidak,Tidak,1,76,15,4,0,Rentan,70.89999999999999
2.61,93,36,Tidak,Ya,5,88,0,7,0,Rentan,66.75
3.15,94,89,Ada,Ya,0,62,15,8,1,Rentan,59.65
3.6,77,89,Ada,Ya,1,55,1,3,1,Rentan,67.0
3.68,72,6,Tidak,Ya,2,70,1,4,0,Stabil,73.19999999999999
3.07,57,42,Ada,Tidak,2,93,17,6,0,Stabil,68.65
2.98,56,24,Ada,Ya,3,52,18,6,0,Stabil,61.099999999999994
3.36,59,97,Ada,Tidak,1,62,13,8,0,Stabil,64.8
2.8,60,88,Tidak,Tidak,4,68,1,6,0,Rentan,63.6
3.19,74,75,Tidak,Tidak,3,63,5,4,0,Stabil,66.45
2.72,52,17,Ada,Ya,0,52,20,1,0,Stabil,51.199999999999996
3.18,73,52,Tidak,Tidak,5,95,17,5,0,Rentan,76.69999999999999
2.65,84,56,Ada,Ya,2,91,8,5,1,Rentan,61.95
2.55,55,24,Tidak,Ya,1,79,5,6,0,Stabil,56.05
2.96,54,92,Tidak,Tidak,1,79,20,8,0,Rentan,62.2
3.93,58,1,Ada,Tidak,5,67,4,3,0,Stabil,82.35
3.16,80,2,Ada,Tidak,1,53,17,2,1,Rentan,60.0
3.57,68,28,Ada,Ya,1,93,3,2,0,Stabil,74.15
2.72,71,44,Ada,Tidak,1,59,9,2,0,Stabil,54.599999999999994
3.23,59,8,Tidak,Tidak,1,74,14,2,0,Stabil,65.25
3.29,81,17,Tidak,Ya,3,94,13,2,0,Stabil,74.15
3.02,95,26,Tidak,Tidak,3,94,2,4,0,Stabil,70.1
2.88,59,15,Tidak,Tidak,1,63,7,1,0,Rentan,57.8
3.72,60,1,Ada,Ya,3,73,4,3,0,Stabil,76.4
3.47,71,77,Tidak,Tidak,3,68,3,7,0,Stabil,71.65
3.66,95,16,Ada,Ya,4,60,8,3,1,Stabil,74.9
3.31,70,24,Tidak,Ya,5,60,1,7,0,Rentan,71.65
2.92,88,30,Ada,Ya,0,62,17,5,0,Stabil,56.199999999999996
3.6,72,92,Tidak,Ya,2,82,6,5,0,Stabil,74.4
2.9,100,87,Tidak,Ya,1,87,1,6,0,Rentan,62.900000000000006
3.31,82,79,Tidak,Tidak,5,100,4,8,1,Rentan,79.65
2.83,69,20,Ada,Ya,0,56,14,1,0,Rentan,53.65
3.78,98,36,Tidak,Ya,3,57,18,2,1,Stabil,74.1
3.92,93,19,Ada,Tidak,4,97,7,7,0,Stabil,86.2
2.78,79,98,Tidak,Ya,0,55,5,2,0,Stabil,52.699999999999996
2.41,79,72,Ada,Tidak,3,80,4,7,1,Rentan,58.15
3.11,93,8,Tidak,Ya,0,66,20,7,0,Stabil,59.85
3.09,55,53,Tidak,Tidak,1,98,9,5,0,Stabil,67.95
3.1,88,85,Ada,Ya,0,96,18,8,1,Rentan,65.7
3.84,50,4,Tidak,Tidak,2,90,14,1,0,Rentan,79.6
3.33,86,64,Ada,Ya,1,73,0,4,0,Stabil,66.55
3.21,71,69,Ada,Ya,4,79,13,2,0,Stabil,71.95
3.36,56,81,Ada,Tidak,0,89,13,7,0,Stabil,68.2
2.94,72,100,Tidak,Ya,3,91,12,8,0,Stabil,68.3
4.0,51,73,Ada,Tidak,3,83,19,4,1,Rentan,82.6
3.63,61,90,Tidak,Tidak,3,83,5,4,0,Stabil,77.05
3.72,55,3,Ada,Ya,2,50,20,3,0,Stabil,69.8
3.47,69,35,Ada,Ya,5,96,12,2,1,Rentan,81.25
3.53,55,2,Ada,Ya,2,73,6,3,1,Rentan,71.55
2.83,61,15,Tidak,Ya,3,61,18,2,0,Rentan,60.65
3.3,84,3,Ada,Tidak,1,63,11,6,0,Stabil,64.1
2.64,68,32,Tidak,Ya,5,77,16,6,0,Rentan,65.0
3.31,96,40,Tidak,Ya,1,78,13,3,0,Stabil,67.25
3.78,76,54,Tidak,Tidak,4,75,0,2,0,Stabil,79.69999999999999
2.89,50,71,Tidak,Ya,0,79,18,3,0,Rentan,59.150000000000006
3.46,91,63,Tidak,Tidak,5,70,10,2,0,Rentan,75.9
3.02,51,36,Tidak,Ya,3,91,18,8,0,Stabil,69.5
2.87,76,63,Tidak,Ya,0,70,11,3,0,Stabil,57.05
3.29,53,28,Ada,Tidak,0,56,10,1,0,Stabil,60.550000000000004
3.57,52,34,Ada,Tidak,2,69,2,3,0,Stabil,71.35
2.59,92,41,Ada,Tidak,3,86,15,3,0,Rentan,62.05
3.71,63,59,Ada,Tidak,5,81,1,8,0,Stabil,81.85
2.97,91,57,Ada,Ya,2,58,7,7,0,Stabil,60.15
3.27,79,34,Ada,Tidak,5,65,0,4,0,Stabil,72.05
3.61,75,6,Tidak,Ya,3,53,14,1,0,Stabil,70.75
3.44,93,73,Ada,Tidak,4,57,7,7,1,Rentan,71.0
3.13,94,81,Tidak,Ya,0,63,5,4,1,Stabil,59.55
3.02,70,1,Ada,Tidak,5,61,10,5,0,Stabil,67.5
2.91,80,72,Ada,Tidak,4,65,15,8,0,Rentan,64.65
2.45,97,1,Tidak,Tidak,2,92,15,5,0,Rentan,59.150000000000006
3.81,51,31,Ada,Ya,4,64,4,6,1,Stabil,77.95
3.45,78,75,Ada,Ya,5,93,11,7,1,Rentan,80.35
3.66,100,59,Tidak,Tidak,4,57,0,5,0,Stabil,74.3
3.08,68,84,Ada,Ya,3,81,9,3,0,Rentan,68.39999999999999
2.64,59,60,Ada,Ya,0,87,2,1,0,Stabil,57.0
2.73,86,32,Tidak,Tidak,4,87,4,6,0,Stabil,66.35
2.99,100,64,Tidak,Tidak,4,58,16,3,0,Stabil,64.45
3.51,58,6,Tidak,Ya,3,87,16,6,0,Stabil,76.05
3.61,91,88,Ada,Ya,2,88,3,7,1,Rentan,75.75
3.12,81,80,Ada,Ya,4,93,20,1,1,Stabil,73.4
2.76,63,15,Ada,Tidak,4,51,16,1,0,Rentan,59.6
3.18,89,95,Ada,Tidak,3,59,20,5,0,Rentan,65.5
3.86,92,18,Tidak,Tidak,4,74,3,4,0,Stabil,80.7
3.02,52,45,Tidak,Tidak,5,79,14,1,0,Stabil,71.1
3.51,71,82,Tidak,Ya,5,67,9,4,0,Stabil,76.05
3.69,87,29,Tidak,Ya,1,54,1,8,0,Rentan,68.15
2.81,74,95,Tidak,Ya,1,53,19,2,0,Stabil,54.75
2.84,62,25,Ada,Ya,5,81,14,2,0,Rentan,68.8
3.57,58,43,Ada,Tidak,1,99,13,3,0,Rentan,75.35
2.88,54,16,Tidak,Tidak,4,90,12,3,0,Rentan,69.19999999999999
2.99,66,68,Tidak,Ya,2,54,5,5,0,Rentan,59.650000000000006
3.19,52,17,Tidak,Tidak,2,66,6,4,0,Rentan,65.05000000000001
2.23,98,70,Ada,Ya,4,54,13,4,1,Rentan,52.25
3.55,64,87,Ada,Ya,3,51,6,3,1,Rentan,69.45
3.3,89,30,Tidak,Ya,0,62,10,1,0,Stabil,61.9
3.23,65,5,Ada,Tidak,0,53,4,4,0,Rentan,59.05
3.52,66,56,Ada,Tidak,5,95,11,6,0,Rentan,81.8
2.7,56,26,Ada,Ya,5,76,19,5,0,Stabil,65.7
3.23,94,34,Tidak,Tidak,0,57,0,3,0,Stabil,59.849999999999994
3.34,52,84,Ada,Ya,3,74,5,5,1,Rentan,70.9
3.03,77,68,Tidak,Ya,5,56,17,1,0,Stabil,66.65
2.98,50,43,Tidak,Tidak,1,55,7,8,0,Stabil,57.699999999999996
3.08,69,1,Tidak,Tidak,4,61,14,7,0,Stabil,66.4
3.26,89,33,Tidak,Ya,0,78,5,8,0,Stabil,64.5
3.37,82,91,Tidak,Ya,0,52,17,8,0,Rentan,60.949999999999996
3.56,57,9,Ada,Ya,0,63,10,5,0,Stabil,66.0
3.21,68,75,Ada,Tidak,2,73,1,7,1,Stabil,66.75
2.91,87,28,Ada,Tidak,1,74,20,2,0,Stabil,60.45
2.92,62,29,Tidak,Ya,3,71,7,7,0,Stabil,64.0
3.0,85,100,Ada,Tidak,2,91,15,8,1,Rentan,67.2
3.06,71,73,Tidak,Ya,2,55,13,4,1,Rentan,60.9
3.4,58,65,Ada,Ya,3,51,5,4,1,Rentan,67.2
3.18,89,80,Ada,Ya,2,54,11,7,1,Stabil,62.5
2.91,50,98,Tidak,Tidak,4,74,10,7,0,Rentan,66.45
3.62,74,55,Tidak,Ya,3,59,1,2,0,Stabil,72.1
3.4,66,70,Ada,Ya,1,92,8,5,0,Stabil,71.4
2.47,68,14,Tidak,Tidak,0,83,4,3,0,Rentan,53.650000000000006
3.28,55,58,Ada,Tidak,0,70,5,2,0,Stabil,63.199999999999996
3.23,90,86,Ada,Ya,4,65,4,2,1,Rentan,69.44999999999999
3.54,96,90,Ada,Tidak,0,77,2,5,1,Rentan,68.5
3.07,69,76,Ada,Ya,5,92,15,1,0,Stabil,74.45
3.04,61,90,Tidak,Ya,5,92,3,6,1,Rentan,74.0
4.0,99,54,Tidak,Tidak,3,93,10,8,0,Rentan,84.6
2.77,64,16,Ada,Tidak,2,99,20,7,0,Stabil,65.35
3.17,53,91,Ada,Tidak,4,84,6,1,1,Rentan,72.35
3.38,98,38,Ada,Tidak,0,100,15,5,0,Stabil,70.69999999999999
3.21,97,2,Tidak,Tidak,5,54,2,1,0,Rentan,68.95
3.09,67,48,Tidak,Ya,5,56,8,1,0,Stabil,67.55000000000001
2.88,51,28,Tidak,Tidak,4,73,17,5,0,Stabil,65.8
3.44,55,18,Ada,Ya,1,63,15,1,0,Stabil,66.2
3.73,94,69,Tidak,Tidak,1,67,6,7,0,Rentan,71.35
3.15,55,20,Ada,Ya,5,94,2,8,1,Rentan,76.05
3.42,85,92,Tidak,Tidak,3,50,9,2,1,Rentan,67.3
2.86,95,95,Tidak,Ya,1,80,14,5,0,Stabil,60.9
3.04,62,79,Ada,Ya,0,84,14,3,0,Stabil,62.400000000000006
2.83,77,9,Tidak,Ya,2,89,12,8,0,Stabil,64.25
3.16,74,26,Tidak,Tidak,4,97,19,3,0,Stabil,74.8
3.69,53,30,Ada,Ya,0,77,15,3,0,Rentan,70.75
3.01,60,87,Tidak,Ya,4,77,17,7,0,Stabil,68.55
3.28,85,25,Ada,Ya,3,73,5,2,1,Rentan,69.8
3.0,52,35,Tidak,Ya,0,75,1,6,0,Stabil,60.0
3.51,56,90,Ada,Ya,5,51,19,1,1,Stabil,72.85
3.61,62,75,Ada,Ya,4,93,10,3,1,Rentan,80.75
2.67,67,39,Ada,Ya,1,61,20,1,0,Rentan,54.25
3.31,61,98,Ada,Ya,0,70,18,5,0,Stabil,63.65
3.46,62,35,Ada,Ya,5,53,12,3,0,Stabil,72.5
3.26,81,4,Tidak,Ya,3,72,20,3,1,Rentan,69.3
3.64,94,33,Tidak,Tidak,2,82,6,7,0,Rentan,75.0
3.33,52,20,Tidak,Ya,3,90,11,1,0,Rentan,73.94999999999999
3.28,89,32,Tidak,Ya,0,96,12,7,0,Rentan,68.4
3.28,77,38,Tidak,Tidak,4,87,0,6,0,Stabil,74.6
3.33,60,38,Tidak,Tidak,2,92,4,4,0,Stabil,72.35
2.99,60,60,Tidak,Tidak,2,80,17,5,0,Rentan,64.85
3.52,93,28,Tidak,Ya,2,84,2,7,1,Rentan,73.6
2.45,58,43,Tidak,Ya,0,52,6,3,0,Stabil,47.15
3.08,75,83,Ada,Ya,3,55,11,7,1,Stabil,63.199999999999996
3.58,99,77,Ada,Tidak,5,77,8,1,1,Stabil,79.1
3.88,55,55,Ada,Ya,3,71,18,6,0,Stabil,78.39999999999999
3.49,77,37,Tidak,Tidak,5,99,0,1,0,Rentan,82.15
2.94,75,81,Ada,Ya,0,55,17,6,1,Stabil,55.1
2.83,86,77,Tidak,Tidak,5,54,10,7,0,Stabil,63.25
3.3,66,78,Ada,Ya,1,57,6,2,1,Rentan,62.9
2.12,52,26,Tidak,Tidak,2,93,9,4,0,Stabil,54.4
3.47,51,75,Tidak,Tidak,0,54,19,1,0,Stabil,62.849999999999994
3.55,97,51,Tidak,Ya,3,84,5,7,0,Stabil,76.05
3.29,70,79,Tidak,Ya,2,51,4,1,0,Stabil,63.550000000000004
3.23,58,73,Tidak,Tidak,3,56,12,6,0,Rentan,65.65
2.56,99,64,Tidak,Ya,4,92,20,5,0,Stabil,64.8
3.37,50,49,Tidak,Ya,1,91,5,7,0,Stabil,70.75
3.26,96,87,Tidak,Ya,0,70,19,7,1,Rentan,62.9
2.9,65,8,Ada,Ya,2,95,6,6,0,Stabil,66.5
2.67,82,0,Ada,Ya,1,60,7,1,0,Stabil,54.05
3.11,95,92,Ada,Tidak,5,80,1,1,0,Stabil,72.65
2.37,98,31,Ada,Ya,1,73,13,1,0,Stabil,52.15
3.23,71,76,Tidak,Tidak,1,71,14,8,0,Stabil,64.65
2.62,60,95,Tidak,Tidak,2,95,14,1,0,Stabil,62.3
3.08,50,61,Tidak,Ya,2,96,16,3,0,Stabil,69.4
2.9,83,43,Tidak,Tidak,5,80,12,3,0,Stabil,69.5
3.14,86,51,Ada,Tidak,2,97,6,4,0,Rentan,70.5
3.47,83,29,Ada,Ya,0,66,5,2,0,Stabil,65.25
3.24,58,59,Tidak,Tidak,0,63,7,8,0,Rentan,61.2
2.34,63,92,Tidak,Ya,0,86,0,2,0,Rentan,52.3
2.92,80,86,Tidak,Ya,1,66,17,8,0,Stabil,59.0
2.59,54,24,Tidak,Ya,3,56,14,5,0,Rentan,56.050000000000004
3.01,93,20,Ada,Tidak,4,60,6,2,0,Stabil,65.15
3.26,69,57,Tidak,Ya,2,69,10,3,0,Stabil,66.7
3.84,99,37,Tidak,Ya,1,95,6,5,0,Stabil,78.6
3.56,67,92,Ada,Tidak,4,65,5,6,0,Stabil,74.4
2.84,56,14,Ada,Tidak,4,67,17,8,0,Stabil,64.0
3.08,62,71,Ada,Tidak,4,65,10,8,1,Rentan,67.19999999999999
3.11,78,42,Ada,Tidak,2,70,14,5,1,Rentan,64.65
2.94,83,64,Ada,Ya,3,51,18,5,1,Rentan,60.300000000000004
3.48,82,98,Ada,Ya,0,89,20,8,1,Rentan,70.0
3.29,94,2,Tidak,Ya,3,75,18,7,0,Rentan,70.35
2.74,62,12,Tidak,Ya,3,62,4,1,0,Rentan,59.5
3.24,69,98,Ada,Tidak,5,67,7,1,0,Stabil,72.0
4.0,53,75,Tidak,Tidak,5,75,6,6,0,Stabil,85.0
3.01,97,64,Tidak,Tidak,0,76,6,2,0,Stabil,60.35
2.42,69,83,Ada,Ya,0,91,9,6,1,Rentan,54.5
3.49,58,76,Ada,Tidak,1,94,15,7,0,Stabil,73.15
2.82,92,39,Ada,Tidak,1,57,5,4,0,Stabil,55.699999999999996
2.76,59,20,Tidak,Ya,3,84,12,7,0,Rentan,64.2
3.52,84,60,Tidak,Ya,3,88,20,2,0,Rentan,76.4
2.5,86,28,Ada,Ya,5,64,16,5,0,Stabil,60.3
3.1,95,84,Tidak,Ya,5,98,4,2,1,Stabil,76.1
2.71,70,57,Ada,Tidak,1,80,11,1,0,Rentan,58.65
3.72,61,85,Tidak,Tidak,2,81,17,4,0,Stabil,76.0
3.76,57,70,Ada,Ya,1,58,11,6,0,Stabil,70.0
2.53,83,47,Ada,Ya,5,84,11,2,0,Stabil,64.75
2.88,67,60,Ada,Tidak,3,68,12,3,0,Rentan,62.8
3.19,89,20,Ada,Tidak,1,98,13,8,0,Stabil,69.45
3.31,67,26,Ada,Ya,1,57,18,4,0,Stabil,63.05
3.42,64,19,Tidak,Ya,5,57,17,8,0,Stabil,72.69999999999999
3.2,94,30,Tidak,Ya,1,64,16,2,0,Rentan,62.8
2.76,76,31,Tidak,Tidak,5,55,0,8,0,Rentan,62.4
3.06,92,73,Tidak,Tidak,3,88,3,8,0,Rentan,69.5
3.42,52,51,Tidak,Tidak,3,79,18,2,0,Rentan,73.1
3.08,66,41,Tidak,Tidak,0,72,7,7,0,Rentan,60.599999999999994
3.3,61,40,Tidak,Tidak,2,71,11,8,0,Rentan,67.7
3.56,95,21,Tidak,Tidak,3,71,14,5,1,Rentan,73.6
3.41,89,33,Ada,Tidak,4,55,2,1,0,Stabil,70.15
2.38,55,85,Tidak,Tidak,2,78,1,3,0,Stabil,55.3
3.46,51,52,Tidak,Ya,0,76,17,5,0,Rentan,67.1
3.4,73,41,Ada,Ya,2,84,11,3,0,Stabil,71.8
2.7,72,79,Ada,Tidak,4,67,18,4,0,Stabil,61.9
2.85,95,72,Ada,Tidak,2,93,11,8,1,Rentan,65.35
4.0,64,0,Tidak,Ya,5,99,17,1,1,Rentan,89.8
2.83,88,42,Ada,Ya,1,51,20,1,1,Rentan,54.65
2.71,69,11,Tidak,Ya,2,95,13,2,0,Stabil,63.65
3.4,51,67,Ada,Ya,0,93,11,3,0,Rentan,69.6
